项目,主题,问题类型,优先级,描述
新基金业务管理系统,【基金传真汇总】：汇总发送列表页缺少传真ID,缺陷,普通,"步骤重现：
1.产品创新中心登录系统
2.进入首页>日常操作>基金传真汇总
3.查看汇总发送列表页面
4.预期结果：
列表页字段：
全选 传真ID 发送部门 传真号码 汇总时间 文件名 操作
实际结果：
列表页字段：
全选 发送部门 传真号码 汇总时间 文件名 操作"
债券招标发行系统,【承销团】承销团管理中设置副主承销商最低投标比例与实际不相符,缺陷,普通,"【承销团】承销团管理中设置副主承销商最低投标比例与实际不相符
1.登陆场务端，点击进入信息维护-承销团管理
2.点击“参数设置”，设置副主承销商最低投标量比例为20%（债券的投标总量为100亿）
3.招标期间，登陆发行人或场务端，点击债券，查看投标明细中的不足投标量
预期结果：20（亿）
实际结果：10（亿）"
新基金业务管理系统,【ETF发行流程】基金公司提交申请，主办作废；所内其他用户恢复；所内人员操作权限错误,缺陷,普通,"
操作步骤：
1.基金公司申请ETF发行流程；
2.所内用户（lyd1）作废该申请；
3.所内用户（lyd2）恢复该申请；
4.在所内用户（lyd2）首页，点击该条信息的“处理”按钮

预期结果：所内用户首页和列表页对该条申请都有审批、作废、处理权限，且功能正常；
实际结果：1.页面跳转到登陆界面；
         2.列表页只有查看功能；"
新基金业务管理系统,【短信提醒】系统自动发送ezpar后发送短信提醒功能未实现,缺陷,普通,"重现步骤：
1.当前时间8:30
2.查看info-log日志
预期结果：日志中有短信提醒内容
实际结果：日志中没有短信"
新基金业务管理系统,【ISIN流程】主办作废申请，代办恢复后，代办列表页没有审核的权限,缺陷,高,"前提条件：委托人（lyd1）,受托人（db）,代办类别：全部

操作步骤：
1.基金公司（91113901/111111）提交ISIN代码申请
2.主办（lyd1/111111）在列表页点击”作废”按钮，作废该条申请；
3.代办（db/111111）在首页作废事项列表中，点击该条记录后的“恢复”按钮，恢复该条记录；

期望结果：主办/代办列表页的操作列为：审批、作废，首页显示为：处理
实际结果：主办列表页的操作列为：审批、作废，首页显示为：处理
          代办列表页的操作列为：查看，首页显示为：处理

"
债券招标发行系统,【承销团】场务端创建新的承销团不能创建,缺陷,低,"【承销团】场务端创建新的承销团不能创建
重现步骤:
1、登陆场务端，点击信息维护-承销团管理
2、输入名称：“刚刚刚”，点击“创建模板”，并且该名称未被使用
预期结果：
新建承销团模板成功
实际结果：
新建承销团模板失败"
新基金业务管理系统,【基金连续停牌】：复审发送通知单页面报JS错误,优化,低,"步骤重现：
1.基金公司或主办登录系统
2.进入首页>业务操作>其他>基金连续停牌
3.填写申请单并提交
4.审核通过，发送通知单
预期结果：发送通知单页面正确
实际结果：发送通知单页面报JS错误"
新基金业务管理系统,【基金连续停牌】：上证基金通类型的连续停牌申请单中证券简称没有自动带出,缺陷,高,"步骤重现：
前提条件：证券已做放开申赎及转托管
1.基金公司或主办登录系统
2.选择上证基金通类型的证券
3.点击空白处
预期结果：自动带出证券简称
实际结果：证券简称无法自动带出，为空
"
新基金业务管理系统,【封转开】主办提交申请单，复审审核不通过，主办修改页面显示有误,缺陷,普通,"操作步骤：
1.主办提交申请单，流转到复审，复审审核不通过
2.主办点击修改，然后检查页面显示
期望结果：页面显示正确
实际结果：历史审核意见栏显示有误，缺少岗位和审核人"
新基金业务管理系统,【上证基金通更名】：主办申请，复核退回主办修改丢字段,缺陷,高,"步骤重现：
1.主办登录系统
2.填写上证基金通更名申请单，并提交
3.复核审核不通过，退回到主办
4.主办修改申请单
当前业务状态为空
主办修改后提交申请单需要再次选择复审"
新基金业务管理系统,【基金信息查询页面】上证基金通产品缺少证券简称,缺陷,普通,"操作步骤：
1.对证券代码：519143、519140、519145做代码申请和上证基金通发售流程并审核通过
2.在基金信息查询列表页查看
期望结果：列表页显示正确
实际结果：缺少证券简称
"
新基金业务管理系统,【基金信息查询】缺少基金分红和基金连续停牌记录,缺陷,低,"操作步骤：
1.在基金信息查询页面，输入证券代码501881，点击查询
2.检查证券代码501881的基金信息
期望结果：信息显示正确
实际结果：缺少基金连续停牌记录
备注：对于封闭式基金代码缺少基金分红记录"
新基金业务管理系统,【代码申请代办委托】：复审设置代办，代办不通过再次审核，只能由代办审核,缺陷,普通,"步骤重现：
1.基金公司登录系统
2.进入代码申请填写页面，填写信息并提交
3.主办审核通过，流转到复核
4.由复核的代办处理，审核不通过，流转到主办
5.主办审核通过，流转到复核
预期结果：复核和复核代办都可以审核处理
实际结果：只有复核代办可以审核处理
PS：代办的代办也可以审核处理"
新基金业务管理系统,【基金信息查询】分级基金开盘参考价显示有误,缺陷,普通,"操作步骤：
1.对证券代码：502016做不定期折算流程并审核通过
2.所内用户在基金信息查询页面，查询502016的基金信息
3.检查502016的信息显示是否正确
期望结果：基金信息显示正确
实际结果：502016不定期折算业务的开盘参考价显示不正确
备注：可能是由于定折和不定折使用同一张表而导致的"
新基金业务管理系统,【ETF退市】主办列表页的查询项缺少申请日期字段,优化,低,"操作步骤：
1.产品创新中心人员进入系统，点击业务操作-退市，在退市列表页检查查询项

期望结果：查询项和需求一致
实际结果：查询项缺少申请日期字段"
新基金业务管理系统,【共性问题】：代办作废的申请单恢复后，原委托人无法审核,缺陷,普通,"步骤重现：
1.为主办设置代办
2.主办审核申请单，通过，流转到复核
3.复核审核不通过，退回到主办
4.由主办的代办作废申请单
5.其他审核人员恢复申请单
6.由主办处理恢复后的申请单
预期结果：主办的首页待办事项里有该申请单，且可以审批处理
          主办的代办首页待办事项里有该申请单，且可以审批处理
实际结果：主办的首页待办事项里有该申请单记录（部分流程没有），但不可审批处理
          主办的代办首页待办事项里有该申请单，且可以审批处理

注意：
需求确认：作废的申请单，非操作作废的所内人员也可以恢复，然后原来在哪个初审/复核那操作的，还是原人操作，代办也可以继续操作。

"
新基金业务管理系统,【信息披露】初审页面字段与基金公司申请填写的字段不一致,缺陷,高,"重现步骤：
1.基金公司登录，进入信息披露页面，点击【新建公告】
2.选择证券代码，公告类型选择“临时公告”，小类选择“发行”
3.其他信息填写正确，点击【提交】
4.所内人员登录，进入统计与查询>公告查询>非直通车页面，点击【审批】
5.检查审批页面字段
预期结果：字段显示正确，与申请时填写一致
实际结果：页面缺少“流动性服务商”字段"
新基金业务管理系统,【基金分红】查询信息成功后，查看记录详情页面显示错误,缺陷,普通,"操作步骤：
1.基金分红流程，输入证券代码：518749，点击查询按钮
2.在列表页点击记录的“查看详情”按钮

期望结果：正确查看记录详细信息
实际结果：返回默认的列表页
"
内部测试,【v3.3结算价计算】合约和标的都停牌的情况下，首次运行结算价命令时，没有取标的收盘价的修正值,缺陷,低,"合约和标的都停牌的情况下，首次运行结算价命令时，没有取标的收盘价的修正值，取的是最新价。
第二次运行时才取得了标的收盘价修正值。"
新基金业务管理系统,【实时申赎发行】：主办提交申请，复核不通过退回，主办查看无审核时间,缺陷,普通,"步骤重现：
1.产品创新中心主办登录系统
2.首页>业务操作>其他>实时申赎货币基金发行
3.新建申请单并提交
4.复核审核不通过，退回主办
5.主办修改申请单
预期结果：历史审核意见中审核时间有数据
实际结果：历史审核意见中审核时间为空"
新基金业务管理系统,【实时申赎放开申购赎回】：基金连续停牌通知单内容错误,优化,低,"步骤重现：
1.基金公司/主办登录系统
2.首页>业务操作>其他>实时申赎货币基金放开申购赎回
3.提交申请单
4.审核通过，查看基金连续停牌通知单
通知单下方[主办人]应为[经办人]"
日常维护版本,验证环境启动前持仓应急操作工具，当待冻结量大于持仓量时，生成的DJYD文件中实际冻结量字段与预期不符,,低,环境启动前持仓应急操作工具，当待冻结量大于持仓量，预期将TR冻为0，SD量为实际冻结量，DJYD文件内容实际与SD量不一致
新基金业务管理系统,【共性问题】初审代填，复核不通过，初审重新生成通知单不显示复审签名图片,优化,普通,"操作步骤：
1.主办提交申请，流转到复审，复审审核不通过，流转到初审
2.初审审核通过，查看通知单的签名图片

期望结果：主办和复审的签名图片都显示
实际结果：只显示主办的签名图片

备注：已发现的流程有ETF发行、LOF发行变更
"
新基金业务管理系统,【封转开】终止上市公告日选择非交易日时，给出的提示有误,优化,低,"操作步骤：
1.基金公司新建申请单时，终止上市公告日选择非交易日，然后左键点击空白处
期望结果：提示“终止上市公告日为非交易日”
实际结果：提示“终止上市日为非交易日”，提示错误"
新基金业务管理系统,【ETF合并】代办人录入开盘参考价，基金开盘参考价通知单显示代办人的签名图片,缺陷,普通,"前提条件：zx委托给xx

操作步骤：
1.基金公司提交ETF合并申请，主办zx审核通过，流转到复审，复审xy审核不通过，流转到初审
2.代办人xx审核通过，查看通知单

期望结果：通知单的主办签名图片显示原主办签名图片
实际结果：通知单的主办签名图片显示代办签名图片

备注：ETF拆分也有同样的问题"
新基金业务管理系统,【业务流程查询】业务流程列表页，ISIN代码申请记录的操作列显示空白,缺陷,普通,"操作步骤：
1.在业务流程列表页，查看所有业务流程记录

期望结果：所有结果显示正确
实际结果：1.ISIN代码申请记录的操作列显示空白
          2.回购出入库、基金分红、ETF拆分部分流程操作列显示空白
          3.集合申购上市、变更标的部分流程业务状态显示空白
          4.查看集合申购上市流程记录报404错误（集合申购上市列表页没有该条记录）"
新基金业务管理系统,【ETF发行】主办新建申请单，提示信息显示错误,缺陷,低,"操作步骤：
1.主办新建ETF申请，申请日期为：5月19号，网上现金发行起始日填写22号，提示：应于产品网上发行首日两天前填报产品相关发行信息！
2.网上现金发行起始日改23号，提示：应于产品网上发行首日三天前填报产品相关发行信息

期望结果：提示信息显示正确
实际结果：提示信息显示错误"
新基金业务管理系统,【共性问题】公告日期大于当前日期，这里的当前日期应为服务器日期,缺陷,普通,"操作步骤：
1.封闭式基金上市流程，上市公告日期所做的限制为大于当前日期，但是这个当前日期系统实现为电脑时间，应为服务器时间
备注：其它带有上市公告日的流程也有该问题"
新基金业务管理系统,【上证基金通摘牌】：通知单中多了复牌日字段,缺陷,普通,"步骤重现：
前提条件：已发售的可用证券
1.基金公司/主办登录系统
2.首页>业务操作>上证基金通>摘牌
3.填写申请单，提交申请
4.审核通过后，查看通知单内容
预期结果：通知单字段：证券代码；证券简称；停牌原因；停牌起始日；停牌终止日
实际结果：通知单字段：证券代码；证券简称；停牌原因；停牌起始日；停牌终止日；复牌日"
新基金业务管理系统,【查询与统计】基金信息查询页面显示有误,缺陷,普通,"操作步骤
1.查询与统计-基金信息查询页面，查询证券代码：501996的信息
2.检查证券代码：501881的信息
期望结果：证券代码：501881的信息显示正确
实际结果：证券代码：501881做过份额放开交易，但是只查到了份额放开交易的开盘参考价有显示，并且开盘参考价现实的还是上市的开盘参考价"
数据管理_内部,【v3.3结算价计算】合约和标的都停牌的情况下，步骤二隐含波动率计算不正确,,普通,"合约和标的都停牌的情况下，步骤二隐含波动率计算不正确
合约编号数30002003，30002004"
数据管理_内部,【v3.3结算价计算】进行最小报价单位修正后，最终的隐含波动率没有再次计算,,普通,"进行最小报价单位修正后，最终的隐含波动率没有再次计算
合约编号30003204"
新基金业务管理系统,【集合申购上市】主办提交申请，复审发送通知单失败,缺陷,普通,"操作步骤：
1.主办填写集合申购上市申请，复审审核通过
2.主办录入开盘参考价，提交成功，复审审核通过，发送通知单
3.在发送通知单页面，点击发送按钮，发送成功，点击完成按钮

期望结果：提交成功
实际结果：提交失败"
新基金业务管理系统,【集合申购及上市】录入开盘参考价时在办人显示错误,缺陷,普通,"前提：基金公司提交申请“集合申购及上市”业务，且流程走到“待录入开盘参考价”状态
重现步骤：
1.T-1日初审登录，进入业务操作>ETF基金>集合申购及上市页面，点击该记录操作中【录入】
2.输入相关正确信息，点击【生成通知单】
3.预览通知单页面点击【返回】
4.审批页面点击【关闭】
5.查看集合申购申请列表页
预期结果：列表中记录信息正确
实际结果：在办人显示错误，初审还没有审核完就显示为复核人了
备注：由主办提交的申请也有这问题"
新公司业务管理系统,【日常信息披露评价】日常信息披露评价列表中，最后更新时间未降序排序,优化,低,"【日常信息披露评价】日常信息披露评价列表中，最后更新时间未降序排序
重现步骤：
1、登录初审，首页>监管工作>信息披露评价>日常信息披露评价 
2、按公司，点击查看
预期结果：
最后更新时间以降序（最新评价在前）排序
实际结果：
最后更新时间未降序排序"
新基金业务管理系统,"【集合申购上市】对外上市日期小于申购赎回起始日,修改页面没有验证",优化,高,"操作步骤：
1.集合申购流程，主办代填申请，点击保存，保存成功
2.在列表页点击修改，修改页面填写信息：对外上市日期小于申购赎回起始日

期望结果：提交不成功，给出提示
实际结果：提交成功

备注：基金公司提交也有同样的问题"
新公司业务管理系统,【日常信息披露评价】日常信息披露评价（按公司），按年度范围进行检索，检索结果中出现了其他年度的数据,缺陷,低,"【日常信息披露评价】日常信息披露评价（按公司），按年度范围进行检索，检索结果中出现了其他年度的数据
前提条件：
2016年度 2016.5.1 -2017.4.30
2017年度 2017.5.1-2018.4.30
重现步骤：
1、登录操作复核李平，进入首页>监管工作>信息披露评价>日常信息披露评价
2、按公司，进行检索。关键字：600185，评价年度：2017
3、点击“查看”，弹出检索结果
预期结果：
展示列表中只显示2017年度的记录
实际结果：
展示列表中出现了2016年度的数据"
新基金业务管理系统,【查询工作流文档】缺少份额放开交易流程记录,缺陷,普通,"操作步骤：
1.份额放开交易流程，由基金公司或者产品创新中心发起的流程，流程审核通过
2.产品创新中心在查询工作流文档页面，查看份额放开交易流程记录
期望结果：有份额放开交易记录，且记录数据正常
实际结果：无份额放开交易记录"
新基金业务管理系统,【查询工作流文档】缺少基金分红流程记录,缺陷,普通,"操作步骤：
1.基金分红流程，无论是由基金公司还是产品创新中心发起，流程审核通过
2.产品创新中心人员在查询工作流文档页面，看看基金分红流程记录
期望结果：有基金分红的记录，且记录正常
实际结果：无基金分红的记录"
新基金业务管理系统,【集合申购及上市】初审审核时修改PBU为5位数字以下可以审核通过,缺陷,高,"前提：基金公司提交集合申购及上市申请记录
重现步骤：
1.初审登录，进入业务操作>ETF基金>集合申购及上市页面，点击【审批】
2.修改主上传PBU通道或备用上传PBU通道的内容为5位数字以下，其他内容填写正确
3.点击【生成通知单】
预期结果：提示相应错误信息
实际结果：提示提交成功"
新基金业务管理系统,【集合申购及上市】录入开盘参考价并提交后查看记录，对外公告上市首日显示错误,缺陷,普通,"前提：基金公司提交申请“集合申购及上市”业务，且流程走到“待录入开盘参考价”状态
重现步骤：
1.T-1日初审登录，进入业务操作>ETF基金>集合申购及上市页面，点击该记录操作中【录入】
2.对外公告上市首日选择日期“2017-05-18”，其他信息填写正确
3.点击【保存】，然后点击【关闭】
4.再点击【录入】，对外公告上市首日选择日期“2017-05-22”，点击【生成通知单】
5.点击【提交】
6.集合申购申请列表页查看该记录
预期结果：记录内容正确，与填写一致
实际结果：对外公告上市首日显示日期为“2017-05-18”而不是“2017-05-22”"
新基金业务管理系统,【ETF上市】主办代填申请，基金账户填写汉字，，提交时弹出提示信息不可关闭,缺陷,普通,"操作步骤：
1.主办代填ETF上市申请，填写基金账户信息为汉字，点击提交按钮
2.弹出提示信息

期望结果：可正常关闭提示信息
实际结果：提示信息不可关闭
"
新基金业务管理系统,【基金连续停牌】产品创新中心列表页基金类型选项内容显示有误,缺陷,普通,"操作步骤：
1.查看产品创新中心列表页基金类型
期望结果：基金类型显示正常
实际结果：实时申赎货币基金、（创新式）封闭式基金显示不全，且（创新式）封闭式基金和封闭式基金显示重复"
新基金业务管理系统,【基金连续停牌】复审审核页面显示有误---问题已经修复，和集成测试25746是同一个问题,缺陷,普通,"操作步骤：
1.基金公司提交申请单
2.初审审核通过，流转到复审
3.复审点击审批按钮，进入审批页面
期望结果：页面显示正常
实际结果：停牌原因显示不全，且页面部分字段内容显示不正常"
新基金业务管理系统,【ETF更名】代办人多次审核不通过，在首页查看该条记录报错404,缺陷,普通,"前提条件：zx委托给xx   代办人和复审人为同一人的情况
操作步骤：
1.主办zx提交ETF更名申请,流转到复审，复审xx审核不通过
2.此时代办人xx操作列显示：修改、作废，点击修改按钮，进入修改页面，点击生成通知单，提交成功
3.此时代办人xx操作列显示：审批、作废，点击审批按钮，在审批页面，点击不通过

期望结果：zx和xx都能正常审核，列表页显示正常
实际结果：主办zx首页，查看该条记录报404，列表页的在办人显示为空，操作列显示：查看
          代办人xx首页，查看该条记录报404，列表页的在办人显示为空，操作列显示：查看
"
新基金业务管理系统,【封闭式基金上市】流程审核通过之后，页面显示有误===》问题已经修复，同集成测试25105,缺陷,普通,"操作步骤：
1.基金公司提交申请单
2.初审审核通过，流转到复审，复审审核通过
3.点击查看详情
期望结果：页面显示正确
实际结果：上市首日涨跌幅限制字段无值"
新基金业务管理系统,【共性问题】主办录入开盘参考价，保存按钮限制错误,优化,普通,"操作步骤：
1.主办提交ETF合并申请，复审审核通过
2.主办录入开盘参考价，点击生成通知单
3.在预览通知单页面，点击返回按钮，清空开盘参考价，点击保存按钮

期望结果：保存成功
实际结果：提示：开盘参考价必须是数字并精确到小数点后三位！不可保存

备注：其他流程也有同样的问题"
新基金业务管理系统,【份额放开交易】查看页面，停牌原因显示不全,缺陷,普通,"操作步骤：
1.基金公司填写申请单并提交
2.初审审核通过，流转到复审，复审审核通过
3.初审录入开盘参考价并提交，复审审核通过
4.点击查看
期望结果：页面显示正确
实际结果：停牌原因显示不全"
新基金业务管理系统,【上证基金通更名】：备注字段字符长度无限制,缺陷,低,"步骤重现：
前提条件：已发售证券
1.产品创新中心登录系统
2.首页>业务操作>上证基金通>更名
3.新建申请单或审核申请单
4.在备注字段输入超过100个字符，点击生成通知单
预期结果：弹出提示：备注不得超过100个字符
实际结果：提交成功，无提示
"
新基金业务管理系统,【份额放开交易】问题汇总,优化,普通,"问题一：
产品创新中心列表页-业务状态的选项-待录入开盘参考价显示不全
问题二：
基金公司提交的申请单，产品创新中心审核时，右上角的当前业务状态显示不正确
问题三：
基金公司提交的申请单，产品创新中心初审审核通过时，填写的审核意见未保存"
新公司业务管理系统,【日常信息披露评价】日常评价编辑页面，历史评价详情中复选框多余,优化,低,"【日常信息披露评价】日常评价编辑页面，历史评价详情中复选框多余
前提条件：日常信息披露评价中有历史详情记录
重现步骤：
1、登录初审，进入首页>监管工作>信息披露评价>日常信息披露评价 
2、选择日常评价编辑页面，查看历史评价详情页面
预期结果：
历史评价详情页面只能进行查看，不可进行其余操作
实际结果：
历史评价详情页面中复选框多余
"
新公司业务管理系统,【业务通知单】47.其他股本结构变动通知打印页面通知单文号与通知单标题同行,优化,低,"【业务通知单】47.其他股本结构变动通知打印页面通知单文号与通知单标题同行
47.其他股本结构变动通知打印页面，通知单标题与通知单文号在同一栏，实际应该分栏显示"
新基金业务管理系统,【代办委托】代办人修改并保存信息后，查看该条信息，申请日期显示空白,缺陷,普通,"前提条件：zx委托给xx      代办人和复审人为同一人的情况

操作步骤：
1.主办zx提交申请,流转到复审，复审xx审核不通过，此时代办人xx操作列显示：修改、作废
2.点击修改按钮，进入修改页面，点击保存按钮，保存成功
3.在列表页，再次点击修改按钮，进入修改页面，查看该条信息

期望结果：页面元素及内容显示正常
实际结果：申请日期显示空白"
新基金业务管理系统,【共性问题】初审页面，修改数据库时间，审核通过，查看通知单时间显示为当前系统时间,缺陷,普通,"

操作步骤：
1.基金公司5月17号提交ETF更变标的指数申请，进入主办审核页面，修改数据库时间为5月18号，点击生成通知单按钮
2.在预览通知单页面，查看通知单日期显示；
预期结果：日期显示当前交易日的时间
实际结果：显示为系统时间

备注：其他流程都有同样的问题
"
新公司业务管理系统,【年度信息披露评价】年度信息披露评价查询栏中的状态查询不正确,缺陷,低,"【年度信息披露评价】年度信息披露评价查询栏中的状态查询不正确
1.评价小组登陆系统
2.点击状态栏查看：未提交、初审中、复核中、部门领导评分中、分管领导审核中、初审办结确认中、已完成
3.选择“初审办结确认中”，查询结果为“评价小组评分中”
预期结果
1.状态栏应存在“评价小组评分中”状态
2.选择“初审办结确认中”，查询结果为“初审办结确认中”"
新基金业务管理系统,【共性问题】文本域输入框中换行符计算在了长度之内,优化,普通,"操作步骤：
1.文本域输入框，输入限制为100字符，可以提交成功
2.当100个字符中有换行符时，点击提交
期望结果：提交成功
实际结果：提示超过输入范围
备注：已发现有该问题流程有：份额放开交易中的停牌原因、上证基金通放开申赎及转托管中的备注"
新基金业务管理系统,【基金合并】初审通过，上传修正通知单文件大小为17.8M，预览/下载通知单系统报500,缺陷,普通,"操作步骤：
1.基金公司提交ETF合并申请，主办审核通过，点击生成通知单按钮
2.在预览通知单页面，上传修正通知单文件（大小为17.8M）,上传成功
3.点击通知单查看或下载通知单
预期结果：上传文件做大小限制或查看通知单正常（需求规格—系统校验：只能是docx格式；）
实际结果：查看/下载通知单，系统报500

备注：其他流程都有同样的问题"
新公司业务管理系统,【年度信息披露评价结果】上市公司端填写年度评价结果的时候未对特殊格式的数值与小数点进行校验,缺陷,低,"【年度信息披露评价结果】上市公司端填写年度评价结果的时候未对特殊格式的数值与小数点进行校验
1.上市公司收到年度信息披露评价流程
2.填写年度信息披露评价流程，评分栏填写0.3、03等数值
3.填写完成，点击提交，提交成功、
预期结果：禁止提交，填写的数值有误或自评分超过最高评分
实际结果：允许提交
备注：初审打开评价流程，上市公司自评分高于最高分，小数显示为0"
新基金业务管理系统,【上证基金通放开申赎及转托管】：申请单中证券代码字段后没有（申赎代码）,优化,普通,"步骤重现：
前提条件：代码已发售
1.基金公司或产品创新中心登录系统
2.首页>业务操作>上证基金通>放开申购赎回及转托管
3.新建申请单，查看证券代码字段
预期结果：证券代码（申赎代码）
实际结果：证券代码"
新基金业务管理系统,【共性问题】复审多次审核不通过，退回主办，委托人和代办人应该都能审核,优化,普通,"前提条件：zx委托给xx代办业务流程

操作步骤：
1.基金公司提交申请，主办zx审核通过，流转到复审，复审xy审核不通过，流转到初审
2.代办人xx审核通过，流转到复审，复审xy审核不通过，流转到初审

期望结果：zx和xx都能审核
实际结果：只能xx审核，zx只能查看
"
新公司业务管理系统,【意向书—建议书—决定书一览表】导出挂网数据的“监管关注”sheet页，多出一个“连接”字段,需求变更,低,"前提条件：初审角色提交监管措施的“书面警示（监管关注）”函件，且流程审核通过至办结。
重现步骤：
1.相关初审角色登录系统
2.进入【首页】>【监管工作】>【监管日志及函件】>【意向书—建议书—决定书一览表】
3.鼠标移至【导出列表数据】，选择【挂网数据统计】
4.在“文件下载”弹出框页，点击【打开】
5.检查下载的挂网数据中“监管关注”sheet页的列表字段

期望结果：导出文件的列表字段与需求移至
实际结果：导出挂网数据的“监管关注”sheet页，列表字段多出一个“连接”"
新公司业务管理系统,【日常信息披露评价】日常信息披露，相关事件中上市公司综合信息弹出界面没有与相关上市公司信息相关联,缺陷,低,"【日常信息披露评价】日常信息披露，相关事件中上市公司综合信息弹出界面未与相关上市公司信息相关联
重现步骤：
1、登录初审，首页>监管工作>信息披露评价>日常信息披露评价
2、按时间，点击相关事件中名称规则为“上市公司综合信息+年度+编号”
预期结果：
弹出界面与相关上市公司信息相关联
实际结果：
弹出界面没有任何公司信息与之关联
备注：按公司，进入也是如此"
新基金业务管理系统,【信息披露】基金公司修改提交未通过的记录，审核人员审批权限有误,缺陷,低,"前提：基金公司新增一条公告记录
重现步骤：
1.所内人员登录，进入统计与查询>公告查询>非直通车页面，点击该记录操作中的【审批】
2.审批页面点击【不通过】
3.基金公司登录，修改并提交该记录
4.任意所内人员登录，查看该记录
期望结果：该记录在办人为初次审核不通过的审核人员，其他审核岗没有审核权限
实际结果：任意审核岗都可以审核该记录，且没有显示在办人"
新公司业务管理系统,【日常信息披露评价】日常信息披露评价（按时间），评价时间检索需要优化,优化,低,"【日常信息披露评价】日常信息披露评价（按时间），评价时间检索需要优化
前提条件：评价时间检索，检索的当天有记录
重现步骤：
1、登录初审，首页>监管工作>信息披露评价>日常信息披露评价
2、评价时间选择2017-05-15至2017-05-15，当天有记录
预期结果：
检索出2017-05-15当天的所有记录
实际结果：
检索出2017-05-15当天没有记录"
新基金业务管理系统,【LOF上市及放开申赎及转托管】流程审核通过后，在首页显示不正确,优化,普通,"操作步骤：
1.产品创新中西代填申请单并生成通知单（申请人：wm ,证券代码为：501883），流转到复审（复审：wm1）
2.复审审核通过，流转到初审
3.初审录入开盘参考价，然后复审审核通过
期望结果：该条记录显示在申请人:wm 的在办事项中
实际结果：该条记录显示在申请人:wm 的待办事项中，且点击操作列中的处理报404
备注：该问题无法重现
"
新基金业务管理系统,【统一登录平台】：使用统一登录平台登录系统，超时退出，退出到原登录入口,缺陷,普通,"步骤重现：
1.打开UUMS统一登录平台
2.用户登录系统
3.长时间不做操作，超时退出
预期结果：退出到统一登录平台入口
实际结果：退出到原登录入口"
新公司业务管理系统,【日常信息披露评价】信息日常披露评价（按时间），评价人未更新,缺陷,低,"【日常信息披露评价】信息日常披露评价（按时间），评价人未更新
重现步骤：
1、登录初审林益，首页>监管工作>信息披露评价>日常信息披露评价 
2、按时间，点击修改评价人为刘月锋的记录，并保存提交
预期结果：
信息披露评价详情页面中的评价人更新为“林益”
实际结果：
信息披露评价详情页面中的评价人未更新，还是为“刘月锋”"
新基金业务管理系统,【上证基金通发售变更】：复核退回初审，初审审核生成通知单，点击返回，在办人错误。,缺陷,高,"步骤重现：
前提条件：提交上证基金通发售变更申请单
1.初审审核通过，流转到复核
2.复审审核不通过，退回到初审
3.初审审核生成通知单，到通知单页面，点击返回
在办人显示错误"
新公司业务管理系统,【业务通知单】9.可转债/公司债回售结果通知中的回售日期允许为非交易日,优化,低,"【业务通知单】9.可转债/公司债回售结果通知中的回售日期允许为非交易日
实际结果：回售日期允许为非交易日
需求：回售日期不允许为非交易日，必须为交易日
备注：8.可转债/公司债券回售通知 中的回售日期同样问题，回售日期允许为非交易日"
新公司业务管理系统,【日常信息披露评价】日常信息披露评价列表中，未优先展示未转换记录以及时间倒序排序,优化,低,"【日常信息披露评价】日常信息披露评价列表中，未优先展示未转换记录以及时间倒序排序
重现步骤：
1、登录初审，首页>监管工作>信息披露评价>日常信息披露评价 
2、按公司，点击查看
预期结果：
优先展示未转换记录，时间以降序（最新评价在前）排序
实际结果：
未优先展示未转换记录，时间倒序排序"
新基金业务管理系统,【ETF退市】主办录入摘牌阶段，保存按钮实现错误,缺陷,普通,"操作步骤：
1.基金公司提交退市申请，主办审核通过，复审审核通过
2.清盘阶段，主办勾选已完成清盘，填写摘牌日期，然后再取消勾选，点击保存，返回列表页
3.点击录入

期望结果：已完成清盘为取消勾选的状态
实际结果：已完成清盘还是已勾选的状态"
新基金业务管理系统,【全流程】所有的日期选择之后，再清空会提示“xx日期为非交易日”,优化,低,"操作步骤：
基金公司提交回购出入库申请，填写回购起始日之后再清空已选择的日期，点击空白处

期望结果：已选择的日期被清空
实际结果：提示:回购起始日为非交易日"
新基金业务管理系统,【基金连续停牌】复审审核页面显示异常,优化,低,"操作步骤：
1.基金公司提交基金连续停牌申请，主办审核通过
2.复审审核，检查页面信息

期望结果：页面显示正常
实际结果：页面字段显示为编辑框，但是不能输入"
新基金业务管理系统,【共性问题】【全部流程】复审审核通过，发送通知单页面，发送部分通知单，返回按钮可用,缺陷,普通,"操作步骤：
1.基金公司提交ETF退市申请，主办审核通过
2.复审审核，发送通知单页面，发送部分通知单，点击返回按钮

期望结果：返回按钮灰色显示不可操作
实际结果：可返回列表页"
新公司业务管理系统,【监管措施决定书】未配置上网把关角色，文秘通过后，后续节点只发送给初审，系统未给出提示,优化,普通,"前提条件：1.未配置上网把关角色
          2.相关初审角色提交监管措施-决定书函件
重现步骤：
1.监管复核审核通过
2.纪律处分小组组长分发
3.纪律处分小组组员审核通过
4.纪律处分小组组长审核通过
5.分管领导审核通过
6.法务领导审核通过
7.部门领导审核通过
8.文秘转换PDF，审核通过
9.检查流程节点
期望结果：未配置上网把关角色，文秘通过后，系统给出提示“未找到上网把关节点”
实际结果：未配置上网把关角色，文秘通过后，后续节点只发送给初审，系统未给出提示"
