项目,主题,问题类型,优先级,描述
ERP系统_内部,[20170726]1楼大堂显示屏预订，管理人员账户登录修改预订信息，首次修改数据保存后，页面不刷新不修改信息，再次点击保存，还是会生成和第一次相同的数据,缺陷,普通,"1.使用管理人员账户登录
2.修改预订信息，第一次修改后保存，生成修改记录
3.第一次修改保存后，不做任何操作或者修改部分数据
4.点击保存后，在生成的修改记录中，会生成第一次修改，第二次未修改的记录"
ERP系统_内部,[20170726]1楼大堂显示屏预订，管理员修改预订信息，在修改页面，自动生成的数据也可以被编辑,缺陷,普通,"1.使用管理员账号登录，选择一条预订记录，点击修改预订
2，进入修改页面


预期结果：自动生成的数据不可以被修改

实际结果：申请人、申请部门、编号、填写日期 可以被编辑"
债券监管信息系统二期,【个债信息披露】信息披露列表没有数据时显示共8条,"",低,"【个债信息披露】信息披露列表没有数据时显示共8条
1.点击信息披露页面
2.点击债券代码 跳转至个债
Windows7 32位操作系统 IE10.0 firefox 50.0 chome 51.0"
ERP系统_内部,[20170726]1楼大堂显示屏预订，1楼大堂预订单页面，管理员账号修改信息，显示在拟稿单中的几条修改记录不是最新的,缺陷,普通,"1.使用管理员修改普通人员的预订单子
2.10：00首次修改，在拟稿单最下方会显示10:00的修改记录
3.11：00再次修改，

预期结果：11:00修改后，在拟稿单最下方显示最新的修改记录
实际结果：11:00修改后，拟稿单最下方依然显示首次的修改记录"
ERP系统_内部,20170726批量处理页面，导航遮罩下，页面文字不显示,优化,低,批量处理页面，导航遮罩下，页面文字不显示，如图
ERP系统_内部,20170726领导用款报销，查看单显示了入账日期和凭证类型，打印单上该两项没值,缺陷,普通,"领导用款报销，查看单显示了入账日期和凭证类型，打印单上该两项没值，如图

期望：请保持两个页面显示统一"
ERP系统_内部,20170726领导用款报销，选择不含发票信息后.税额没有及时联动更新,缺陷,高,"领导用款报销，默认选择包含了发票信息，税额为1；
再选择不含发票信息后.税额没有及时联动更新，如图"
EZEI重构,数据集群系统关闭失败（尝试关闭次数超过2次）,缺陷,低,数据集群在系统关闭时出现进程关闭失败，从而导致停止系统关闭的现象。问题具体描述可参见#26346。
ERP系统_内部,20170726领导用款报销，选择不含发票信息后.打印单还是显示了发票子表信息,缺陷,高,"领导用款报销，默认选择了包含发票信息；
再选择不含发票信息.打印单还是显示了发票子表信息，如图"
ERP系统_内部,20170726领导用款报销，拟稿页发票信息粘贴空的时候，价税合计显示NaN,优化,普通,领导用款报销，拟稿页发票信息粘贴空的时候，价税合计显示NaN，如图
ERP系统_内部,20170726领导用款报销，流转到出纳节点，附件不显示,缺陷,高,领导用款报销，流转到出纳节点，附件不显示，如图
ERP系统_内部,20170726领导用款报销，拟稿页面，所领导人员选择控件展示了所有人,缺陷,高,领导用款报销，拟稿页面，所领导人员选择控件展示了所有人，如图
ERP系统_内部,[20170725]1楼大堂显示屏预订，从返回初审节点发送至返回拟稿人办结和返回拟稿人修改节点时，提示：文件接收人需要调整，请联系管理员！,缺陷,紧急,""
ERP系统_内部,[20170725]1楼大堂显示屏预订，预订复审下一节点，节点名称有误，应该为：返回初审，选择显示为预订初审,缺陷,普通,""
ERP系统_内部,[20170725]1楼大堂显示屏预订，在预订初审和返回初审节点，输入意见信息后，页面中未展示意见,缺陷,普通,"1.创建1楼大堂显示屏预订单，流转至至预订初审节点
2.输入意见信息或者不输入意见信息
4.点击发送

预期结果：输入意见信息，显示意见和签名    不输入意见信息，显示签名
实际结果：不显示意见信息和签名"
ERP系统_内部,[20170725]1楼大堂显示屏预订，1楼大厅预订单拟稿单页面，联系人，未做25个中文字符校验,缺陷,普通,可以输入多余25个中文字符
ERP系统_内部,[20170725]1楼大堂显示屏预订，1楼大厅预订单拟稿单页面，所外最高领导人，未做25个中文字符和50个英文字符校验,缺陷,普通,可以输入多余25个中文字符和50个英文字符
ERP系统_内部,[20170725]1楼大堂显示屏预订，拟稿页面，上市公司名称，可以输入多余25个中文字符和50个英文字符，且校验信息有误,缺陷,普通,提示信息应为：上市公司名称不能超过50个英文字符或25个中文字符
新公司业务管理系统_内部,【7.4.2监察部接口】部分接口字段长度小于数据库长度,优化,低,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.对比接口文档中各字段长度和数据库取值字段长度
【发现问题】
1.监管函件接口-标题字段，接口长度定义为200，数据库为500
2.关联内幕知情人接口-所在单位/部门字段，接口长度定义为50，数据库为100
【分析】
测试分析：风险较小，后续优化"
ERP系统_内部,20170725弹性制考勤导入，证券大厦16:00，迎春路23:59，导入。证券大厦的读取不到，为null,缺陷,高,弹性制考勤导入，证券大厦16:00，迎春路23:59，导入。证券大厦的读取不到，为null
新公司业务管理系统_内部,【债券信息库】 公司债自动新建流程成功后，上市公司点开其它待办无法打开页面,缺陷,高,公司债自动新建流程成功后，上市公司点开其它待办无法打开页面，参考截图
ERP系统_内部,[20170725]1楼大堂显示屏预订，所有显示屏没有8：00-10:30时间段可预订，当预订类型为其他，预订时间有冲突时，4#屏显示可预订,缺陷,高,"前置条件;所有显示屏没有8:00-10:30时间段可预订
1.选择任意显示屏任意可选时间段可预订
2.进入拟稿单页面，预订类型默认为其他，修改预订时间段为10:00-12:00

预期结果：1.提示预订时间冲突  2.预订显示屏全部为置灰状态 不可勾选
实际结果：1.没有提示时间冲突  2.4#显示屏为可勾选状态"
ERP系统_内部,[20170725]1楼大堂显示屏预订，没有显示屏8:00-10:30时间段可用，在拟稿单页面，切换预订类型为上市仪式，1.没有提示预订冲突 2.预订显示屏中4个屏幕未置灰,缺陷,高,"前置条件：1#、2#、3#、4#显示屏无8:00-10:30时间段可预订
1.选择其他任意显示屏和时间段，进入拟稿页面
2.切换预订类型为上市仪式


预期结果：1.预订显示屏中，1#、2#、3#、4#显示屏被置灰，无法勾选  2.提示预订冲突：市仪式预订时间冲突，请与设施保障部的管理员进行协商调整

实际结果：1.，1#、2#、3#、4#显示屏未置灰，仍可勾选  2.没有提示预订冲突的信息"
ERP系统_内部,[20170725]1楼大堂显示屏预订，1楼大堂预订单拟稿单页面，当预订类型为上市仪式时，预订时间段可以被编辑,缺陷,高,"1.在预订页面选择上市仪式，跳转至拟稿单
预期结果：预订时间段不可编辑
实际结果：预订时间段可以被编辑

2.在拟稿页面，预订类型从其他切换为上市仪式
预期结果：预订时间段变为8:00-10:30，且预订时间段不可编辑
实际结果：预订时间段没有变更为8:00-10:30   预订时间段可以被编辑"
ERP系统_内部,[20170725]1楼大堂显示屏预订，1楼大堂预订单拟稿页面，标题字段未做中文字符长度校验,缺陷,普通,输入超过25个中文字符，没有做校验
ERP系统_内部,[20170725]1楼大堂显示屏预订，使用设施管理人员账号登录，在预订页面，修改4#屏默认预订信息时，节能关机预订时间无法修改在播放行情之前,缺陷,普通,"设施管理人员登录
1.修改播放行情时间段为12:00-14:00
2.修改节能关机时间段为9:00-11:00
或者
3.修改节能关机时间为15:30-16:00
4.修改播放行情时间段为16:00-17:00
 预期结果：可以正常修改
实际结果：提示时间冲突"
ERP系统_内部,[20170725]1楼大堂显示屏预订，使用设施管理人员账号登录，从使用图中进入到表单中，无法修改预订信息,缺陷,高,"使用设施管理人员账号登录
1.进入预订页面，从使用情况图的预订记录中进入表单
  预期结果：可以修改预订信息
实际结果：无法修改预订信息"
新债券业务管理系统_内部,中期报告：主办岗审核中期报告不通过，在承销商登录界面查看中期报告状态为“未提交”，点击修改，页面打开为空白页面,缺陷,高,"1.主办岗登录新债券系统
2.受理中期报告，受理结果为不通过
3.承销商登录新债券系统 查看待办事项
4.点击修改
预期结果：待办事项中，中期报告状态为“不通过”，点击修改，页面正确显示已填写数据
实际结果：待办事项中：中期报告状态为“未提交”，点击修改，页面为空白页
浏览器：ie8
操作系统：win7"
ERP系统_内部,[20170725]1楼大堂显示屏预订，设施管理员账户登录，修改4#屏默认已预订时间段，开始时间大于结束时间时，也可以修改,缺陷,高,"设施管理员账号登录
1.进入预订页面，修改默认已预订的播放行情和节能关机
2.分别修改播放行情和节能关机时间段为9:30-9:00和16:30-16:00

预期结果：不能修改，提示预订结束时间不能大于开始时间
实际结果：可以修改"
新债券业务管理系统_内部,中期报告：主办岗审核点击“输入意见”按钮无反应，不输入意见直接点击“不通过”按钮，页面无错误提示，且文件成功发送至承销商,缺陷,高,"1.主办岗登录新债券系统
2.点击受理新中期报告
3.点击输入意见按钮
预期结果：页面弹出输入意见框
实际结果：按钮无反应，页面左下角提示“网页上有错误”

1.主办岗登录新债券系统
2.点击受理新中期报告
3.不输入意见直接点击不通过按钮
预期结果：提示错误信息，文件无法发送至承销商
实际结果：页面无错误提示，文件成功发送至承销商

浏览器：ie8
操作系统：win7"
行情监测平台,【业务通知单系统】【前台】多次添加同一审核人员送审后，次数未增加，导致排序未上升,"",高,"1、登录前台，新增任务，编辑审核人员，送审
2、再次新增任务，编辑任务单，添加同一审核人员，送审
3、查看该审核人员排序
异常结果：多次添加同一审核人员后，次数未增加，导致排序未上升
预期结果：多次编辑同一人员后，次数应增加，且排序上升"
ERP系统_内部,[20170725]1楼大堂显示屏预订，所有显示屏的8:00-10:30都已被预订，在任意选择一个时间段，在窗口中选择预订类型为上市仪式后，窗口会消失，会出现js错误,缺陷,高,"前提条件：所有显示屏的8:00-10:30时间段都已被预订
1.选择任意屏幕任意时间段，在弹出的窗口中，勾选预订类型为;上市仪式
  预期结果：
提示消息：上市仪式预订时间冲突，请与设施保障部的管理员进行协商调整

实际结果;js报错，窗口消失

JS报错信息：
网页错误详细信息

用户代理: Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; WOW64; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)
时间戳: Tue, 25 Jul 2017 07:43:51 UTC


消息: 'top' 为空或不是对象
行: 598
字符: 2
代码: 0
URI: http://196.123.131.3:9998/ezweb/modules/tradinghall/js/displayglass.js

"
ERP系统_内部,[20170725]1楼大堂显示屏预订，1#、2#、3#屏中8:00-10:30被预订情况下，再次选择预订类型为上市仪式时，选中标识自动选中4#屏8:00-9:30后，窗口会消失,缺陷,高,"前提条件：1#、2#、3#屏8:00-10:30已被预订
1.选择1#屏11:00-12:00时间段后，在弹窗中选择预订类型为：上市仪式
预期结果：选中标识从1#屏的11:00-12:00时间段跳至4#屏的8:00-9:30时间段，弹窗中时间段变为8:00-9:30
实际结果：标识跳转后窗口会消失"
新债券业务管理系统_内部,中期报告：主办岗受理中期报告界面左上角显示“年度报告申请表”；承销商查看已办结成功后，承销商登录查看已办结的文件，页面右上角字体显示为“年度报告申请表”且是否已披露中报为“否”,缺陷,高,"1.主办岗登录
2.点击受理中期报告
预期结果：页面表名显示“中期报告申请表”
实际结果：页面表名显示“年度报告申请表”
1.承销商登录新债券系统
2,点击定期报告：中期报告（新）
3.查看审核通过的文件
预期结果：页面表名显示“中期报告申请表”，是否已披露中报为“是”
实际结果：页面表名显示“年度报告申请表”，是否已披露中报为“否”
浏览器：ie8
操作系统：win7"
ERP系统_内部,[20170725]1楼大堂显示屏预订，已预订数据中，没有生成编号,缺陷,高,"1.进入拟稿单，输入正确信息，点击发送
2.返回该条数据查看单，

预期结果：查看单中所有信息正确显示
实际结果：没有生成编号信息"
资源管理系统,变更系统负责人后，无法显示已审批工时报表,缺陷,高,""
ERP系统_内部,2017-07-25 考勤--弹性考勤设置异常，导入异常考勤记录后，考勤情况显示正常,缺陷,高,"弹性异常设置：TYPE_ID=0    与TYPE_NAME=弹性不匹配

导入迟到、早退的考勤记录
查看考勤情况信息

预期结果：考勤信息为空
实际结果：考勤为正常"
ERP系统_内部,[20170725]1楼大堂显示屏预订，拟稿单发送后，在预订记录中没有数据,缺陷,高,"1.选择预订信息，进入拟稿单，正确输入必填信息，点击发送
2.重新进入预订页面
3.查看预订列表


预期结果：在预订列表中显示预订数据
实际结果：没有显示预订数据"
ERP系统_内部,[20170725]1楼大堂显示屏预订，使用设施管理人员账号登录预订，在预订页面预订窗口，选择预订类型为上市仪式时，不会自动变更时间段和选中标识,缺陷,高,"使用设置管理人员账号登录：唐明  周丽敏
1.进入预订页面，选择预订时间段为：10:00-12:00
2.在弹出的窗口中，选择预订类型为：上市仪式


预期结果：预订时间自动变为8:00-10:30  选中标识为8:00-10:30
实际结果：时间段和选中标识都没有变化"
ERP系统_内部,[20170725]1楼大堂显示屏预订，在预订页面，4#屏默认已预订时间段，修改和取消预订未区分权限,缺陷,高,"1.使用非设施管理人员账号进入预订页面，修改和取消默认预订信息
2.可以正常修改和取消默认预订信息

预期结果：非设施管理人员不能修改和取消4#屏的默认预订信息
实际结果：非设施管理人员也可以进行操作"
新债券业务管理系统_内部,融资主体查询，选择不同的时间范围，表格宽度显示过窄,优化,低,"融资主体查询，选择不同的时间范围，表格宽度显示过窄

1，结算数据查阅人登录查询岗
2，选择筛选条件，筛选月份
预期结果：表格列数显示均匀分布在整个界面
实际结果：表格列过窄，不能分布整个界面

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,融资主体类型不支持修改,缺陷,低,"融资主体类型不支持修改

1，结算参与人登录回购报送岗
2，在融资主体信息列表中，点击修改
预期结果：融资主体信息类型不支持修改
实际结果：结算参与人可更改融资主体类型

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,由于融资主体名称过长，在查询岗中融资主体产品名称换行显示，且导致其他融资主体信息超出融资主体信息模块框。,缺陷,低,"由于融资主体名称过长，在查询岗中融资主体产品名称换行显示，且导致其他融资主体信息超出融资主体信息模块框。

1，结算数据查阅人登录查询岗
2，点开融资主体名称过长的数据报送页。
预期结果：产品名称显示在一行中，且融资主体其他信息都显示在融资主体模块框内
实际结果：产品名称换行显示，且导致其他融资主体信息超出该模块框。

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,查询岗界面中鼠标指针移到“查询”按钮，鼠标指针变为文本光标,优化,低,"查询岗界面中鼠标指针移到“查询”按钮，鼠标指针变为文本光标
1，结算数据查阅人登录查询岗
2，选择相应筛选条件，点击查询
预期结果：鼠标指针由原来的箭头型变为小手型
实际结果：鼠标指针由原来的箭头型变成文本型

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,三种模式数据填报tab页证券账户模块中添加和删除按钮需美化,优化,低,"三种模式数据填报tab页证券账户模块中添加和删除按钮需美化

1，结算参与人登录回购报送岗
2，点击自营模式数据报送，点击添加

证券账户模块 “删除”与 “添加”按钮可做成链接形式

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,三种模式数据填报tab页证券账户空行填写，查询仍显示空行,优化,低,"三种模式数据填报tab页证券账户空行填写，查询仍显示空行

1，结算参与人登录回购报送岗
2，点击自营模式数据报送，添加
3，其他数据填写正确，融资主体证券账户模块中，证券账户模块第一行不填写，点击添加，在第二行中填写
4，保存
5，再回到原来数据报送界面。
预期结果：空行消失，只显示填写行
实际结果：空行，填写行都存在

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,自营模式数据报送tab页中证明文件号码文本框太短，信息显示不全,优化,低,"自营模式数据报送tab页中证明文件号码文本框太短，信息显示不全

1，结算参与人登录回购报送岗
2，点击自营模式数据报送
3，输入证明文件号码，文本框太短，信息显示不全。

操作系统：win7，32位
浏览器：IE8"
ERP系统_内部,[20170725]1楼大堂显示屏预订，在1楼大堂预订单拟稿单页面，发送报错,缺陷,紧急,"1.正确选择预订信息，进入拟稿单页面
2.输入必填项，点击发送
3.发送报错"
ERP系统_内部,[20170725]1楼大堂显示屏预订，1.普通人员登录，在1楼大堂预订单拟稿单和查看单页面，点击返回，应该返回预订页面，而不是返回首页  2.设施管理人员登录，从预订页面下预订列表进入查看单，点击返回，应该返回预订页面，而不是返回查看所有预订的页面,缺陷,普通,""
ERP系统_内部,[20170725]1楼大堂显示屏预订，区间选择，任意选择屏幕，在窗口中修改预订时间段时，会提示冲突,缺陷,普通,"1.例如选择一块屏幕 时间为10：00-12:30
2，在弹出的窗口中，将后面的时间改为10:30
3.会弹出冲突提示：预订结束时间不能大于开始时间"
ERP系统_内部,[20170725]1楼大堂显示屏预订，在预订页面，日历展示为当前月份时，选择预订，在弹窗中没有显示月份,缺陷,高,"1.当前时间2017年7月25日
2.在预订页面，日历显示为5月和6月，或者8月和9月
3.拖动对应的显示屏时间区间，查看弹出的窗口信息
4.在窗口中显示的日期为空"
ERP系统_内部,[20170725]1楼大堂显示屏预订，进入预订页面，页面标题有误，如图,缺陷,普通,"预期结果显示为：
您当前的位置：首页 -> 办公管理 -> 1楼大堂显示屏预订 "
债券监管信息系统二期,【实际发行规模字段】ABS基本情况无实际发行规模字段，但其个债信息披露里出现该字段,"",低,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
1.ABS基本情况无实际发行规模字段，但ABS信息披露及个债信息披露里出现该字段。"
新债券业务管理系统_内部,自营模式数据报送tab页中证明文件号码文本框太短，信息显示不全,优化,低,"自营模式数据报送tab页中证明文件号码文本框太短，信息显示不全

1，结算参与人登录回购报送岗
2，点击自营模式数据报送
3，输入证明文件号码，文本框太短，信息显示不全。

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,进入融资主体信息修改tab页标题未由”新建”更改为”修改”,优化,低,"进入融资主体信息修改tab页标题未由”新建”更改为”修改”

1，结算参与人登录回购报送岗
2，点击融资主体信息列表
3，点击添加，填写新增融资主体信息，返回融资主体信息列表
4，融资主体信息列表点击修改，进入修改界面
预期结果：标题栏为修改融资主体信息
实际结果：标题栏为新增融资主体信息
操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,数据报送tab页（三种模式）中融资主体证券账户以下的非必填字段填写超过14位整数保存失败,缺陷,低,"数据报送tab页（三种模式）中融资主体证券账户以下的非必填字段填写超过14位整数保存失败

1，结算参与人登录回购报送岗
2，点击自营模式模式数据报送
3，在自有债券量、回购未到期余额、资产负债情况中填写大于14位整数
4，保存
预期结果：保存失败，提示该地方填写错误
实际结果：提醒操作失败，并未对错误地方做提示。

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,托管人模式结算参与人信息填写中结算参与人编码长度未校验,缺陷,普通,"托管人模式结算参与人信息填写中结算参与人编码长度未校验

1，结算参与人登录回购报送岗
2，点击托管人模式结算参与人信息
3，结算参与人编码填写小于6位数字，其他信息填写正确。
4，保存
预期结果：保存失败，提示该地方填写错误
实际结果：保存成功

操作系统：win7，32位
浏览器：IE8"
新债券业务管理系统_内部,中期报告申请界面，多个债券选择不同的发行人可以提交成功,缺陷,高,"1.承销商登录新债券系统
2,定期报告：中期报告（新）-中期报告申请
3.选择债券代码及发行人
4.点击增加代码信息，选择不同的债券代码及发行人
5.上传中期报告。内容：公司基本信息填写第一个选择的发行人信息，债券代码填写页面选择的两个债券代码，用逗号隔开
6.提交
预期结果：提交失败，提示错误信息
实际结果：提交成功
浏览器：ie8
操作系统：win7"
ERP系统_内部,[20170725]福利用款，拟稿单不能添加附件,缺陷,普通,""
ERP系统_内部,2017-07-24 考勤--迎春路有数据，证券大厦数据为空，导入考勤记录，无法导入,缺陷,普通,"数据：迎春路有数据，证券大厦数据为空

导入考勤记录

预期结果：提示上传成功
实际结果：页面一直显示正在加载中，无法导入"
新债券业务管理系统_内部,债券代码申请中小企业私募债、非公开发行公司债券和次级债三种类型的债申请成功后并未在中期报告申请界面债券代码下拉框中显示该三种类型的债券代码,缺陷,高,"1.承销商登录新债券业务系统
2.债券代码申请，证券类别分别选择中小企业私募债、非公开发行公司债券和次级债三种类型
3.打开中期报告申请界面
4.在债券代码中找出已申请的三种债券代码，分别选择
预期结果：三中类型的债券代码显示在下拉列表中，选中后自动带出信息
实际结果：下拉列表中无申请的三种类型的代码
浏览器：ie8
操作系统：win7"
ERP系统_内部,2017-07-24 弹性制考勤--部门考勤情况展示和个人考勤情况展示不一致，且考勤不正确,缺陷,高,"数据：
迎春路考勤 2:00:15
证券大厦考勤  8:41:00
技术大厦考勤  11:01:59

1.导入考勤记录，查看部门考勤情况和个人考勤情况显示

预期结果：考勤展示一致，且考勤信息正确

实际结果：部门考勤情况展示和个人考勤情况展示不一致
         部门考勤情况：下班未刷卡
         个人考勤情况: 早退


"
新债券业务管理系统_内部,中期报告申请界面，中期报告、财务报告和中期报告摘要文件上传非要求的格式文件可以上传成功,缺陷,高,"1.承销商登录新债券系统
2,定期报告：中期报告（新）-中期报告申请
3.中期报告上传非docx格式文件，财务报告上传非pdf格式文件，中期报告摘要上传非pdf文件
预期结果：上传失败，提示错误信息
实际结果：上传成功
浏览器：ie8
操作系统：win7"
新公司业务管理系统_内部,【债券信息库】【可转债自动流程】字段有误，功能不能实现,缺陷,高,【可转债自动流程】字段有误，功能不能实现
新公司业务管理系统_内部,【债券信息库】【优先股自动流程】未实现,缺陷,高,【优先股自动流程】功能未实现
新公司业务管理系统_内部,【V7.4债券数据库】上市公司新建公司债页面字段有误,优化,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.初审（韩逸颖）新建债券信息
2.公司代码(603001)填写完成点击提交
3.登陆上市公司(603001)点击待办事项业务提醒
4.页面跳转新建公司债确认页面
【发现问题】
1.发现页面分管人员写成风管人员
【分析】
孙露待分析"
新公司业务管理系统_内部,【债券信息库】【自动维护流程】 通过通知单状态的变更，系统自动发起维护流程,缺陷,高,通过通知单状态的变更，系统自动发起维护流程，未实现该功能
ERP系统_内部,20170724考勤导入，同一个模板，导入上班时间、下班时间，结果下班时间为null,缺陷,高,"考勤导入，同一个模板，导入上班时间、下班时间，结果下班时间为null
例如：汤其林 地球站 2017/7/3"
ERP系统_内部,[20170724]ERP需求专用工单，在返回拟稿人节点，紧急程度和期望交付版本未做校验,缺陷,高,"1.新建ERP需求专用工单，流转至返回拟稿人修改节点
2.修改紧急程度为低或者普通，修改期望交付版本为2017年1月，点击保存
3.修改紧急程度为紧急或者立刻。修改期望交付版本为2017年1月，点击保存
  期望结果：为低或者普通时，交付版本只能在45个自然日之后;为紧急或者立刻时，交付版本只能在20个自然日之后
实际结果，未做校验"
新公司业务管理系统_内部,"【V7.4债券数据库】新建债券信息提交缺少错误提示""!""",优化,普通,"【环境】
http://196.123.131.10:8080/CBMN
【步骤】
1.初审（韩逸颖）新建债券信息
2.公司代码公司简称填错点击提交
【发现问题】
1.弹窗提示感叹号图标录入的数据有误，但缺少感叹号提示
【分析】
孙露待分析"
债券监管信息系统二期,浏览器新标签页更换账户后，原标签页用户信息操作后不更新,"",低,"操作系统：Windows 7 64位
浏览器：Firefox 50.0
同一浏览器下，打开个债页面后，点击退出并登录另一个用户，原标签页用户仍可以操作
1.用sjszqb用户登录系统，点击进入个债页面
2.在个债页面点击退出，登录dq001用户
3.返回原sjszqb用户页面
预期结果：原标签页用户信息在操作后更新为后一个登录的用户。
实际结果：原标签页用户信息操作后未更新，仅部分用户权限更新。"
行情监测平台,【业务通知单系统】【后台】历时监测中，每次检索时，建议检索到全部列表中,"",普通,"1、登录后台，历时监测，点击具体某部门处理情况，切换到紧急或非紧急
2、再点击搜索
异常结果：未显示到全部
预期结果：建议检索后，显示全部"
新基金业务管理系统_内部,【ETF发行】复审核通过后，通知单不显示复核人图片,缺陷,普通,"步骤：
正常提交流程，复核人通过，预览通知单
预期结果：显示复核人签名图片

实际结果：不显示复核人签名图片
"
ERP系统_内部,20170724考勤导入，证券大厦导入的上班时间、下班时间，数据库表里都显示null,缺陷,高,证券大厦导入的上班时间、下班时间，数据库表里都显示null
债券招标发行系统_内部,场务新增场务机构用户，填写信息后点击保存，提示SAVE_FAIL,"",紧急,"步骤：
用场务用户登录
点击新增机构，点击场务
填写信息后点击保存
预期结果：提示保存成功，或提示具体失败原因
实际结果：提示SAVE_FAIL
浏览器：IE8
操作系统：win7专业版"
债券招标发行系统_内部,统计报表导出表格中的发行总量（亿元）为标书信息中的招标总量（亿元）,"",高,"步骤：
用场务用户登录
选择统计报表
选择发行人、招标日期，点击导出
预期结果：表格中的发行总量（亿元）为标书信息中的发行总量（亿元）
实际结果：表格中的发行总量（亿元）为标书信息中的招标总量（亿元）
浏览器：IE8
操作系统：win7专业版"
ERP系统_内部,20170724考勤导入，导入下班时间为17:00:00，结果显示早退,缺陷,高,"1.导入考勤信息，下班时间为17:00:00，结果显示早退

详情可见：汤其林 2017/07/07的考勤"
ERP系统_内部,20170724合同付款单，流转到部门负责人节点时，填写字段全部清空,缺陷,高,"测试步骤：
1.合同付款单 将付款金额填充完成，流转到部门负责人审核节点

预期结果：
1.部门负责人页面显示正常，数据填充完整；

实际结果：
1.部门负责人页面显示不正常，填写所有字段均被清空"
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（复核）-只能查看/审核自己分管的初审提交的信访投诉记录,缺陷,普通,"周长青可以看到郭海涛需要审核的信访投诉，点击‘审核’以后，页面只能查看流程跟踪。
详情见附件截图。"
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（初审、复核）-查询条件‘流程状态’多了‘未提交’状态的记录,缺陷,普通,"登录系统-初审、监管复核、直管复核，查看查询项‘流程状态’的选项：

期望结果：查询项‘流程状态’显示：全部-初审中-监管复核中-信访投诉小组中-初审确认中-已办结
实际结果：查询项‘流程状态’显示：全部-提交中-初审中-监管复核中-信访投诉小组中-初审确认中-已办结"
新债券业务管理系统_内部,中期报告上传的docx文件内容正确，但是提交失败,缺陷,高,"1.承销商登录新债券业务系统
2.定期报告：中期报告（新）-中期报告申请
3.上传中期报告为docx格式的文件，内容填写正确
4.提交
预期结果：提交成功
实际结果：提交失败，提示错误信息“保存失败！请确认所填数据是否正确”
浏览器：ie8
操作系统：win7"
ERP系统_内部,2017724延迟休假批量处理，部门负责人批量处理通过后，对应的数据库表状态还是为null,缺陷,立刻,"1.申请一个延迟休假的单子，流转到部门负责人审核节点
2.部门负责人，批量处理该单子，处理成功后，流转到人事部审核（金洁）那里
3.查看数据库表，状态还是null，意味着批量处理延迟单，没有生效

期望：处理成功后，状态应该是1

注：查看语句（SELECT  h.status,H.ID AS ID,H.YEAR AS YEAR,H.THISYEAR_DAYS+H.YESTERYEAR_DAYS AS 本年度共计,H.THISYEAR_USEDAYS+H.YESTERYEAR_USEDAYS as 本年度已休, H.THISYEAR_DAYS AS 当年可休总天数, H.THISYEAR_USEDAYS AS 当年已休总天数, H.YESTERYEAR_DAYS AS 延迟休假总天数, H.YESTERYEAR_USEDAYS  AS 延迟休假已休天数, H.REMARK AS REMARK, U.ID AS USERID,U.UNAME AS USERNAME ,U.WORKNO AS WORKNO,U.ULEVEL AS ULEVEL,O.UNAME AS DEPTNAME, O.ID AS DEPTID 
FROM G_DEPT A INNER JOIN G_DEPT F ON (A.FID = F.ID) INNER JOIN G_USERS U ON (A.USER_ID = U.ID) INNER JOIN G_USERS O ON (F.USER_ID=O.ID) INNER JOIN ERP_AST_USERHOLIDAY AS H ON H.USERID=U.ID WHERE  (U.UTYPE = 0  OR U.UTYPE = 9) AND U.STATUS > -1 
AND YEAR ='2017'
AND U.UNAME like '%王可%' ）"
新公司业务管理系统_内部,【7.4.1信访投诉】信访投诉列表（监管复核）查询项缺少‘公司范围’,缺陷,普通,"监管复核登录并查看信访投诉页面，查看页面查询项；

预期结果：查询项全部显示；
实际结果：查询项缺少‘公司范围’一项。"
新公司业务管理系统_内部,【7.4.1信访投诉】审核页面（初审确认中）-页面缺少‘回复意见’元素,缺陷,普通,"测试步骤：
1.新建信访投诉并提交，流程走到初审确认中；
2.初审身份登录系统，打开审核页面，查看页面元素；

预期结果：页面元素全部显示正确；
实际结果：页面缺少‘回复意见’；"
ERP系统_内部,20170724文件授权，A授权查阅功能给B，C；B不应具有授权变更的权限,缺陷,低,"前置条件：
A将某签报的查阅功能授权给B，C 

测试步骤：
B登录，点击【授权变更】

预期结果：
提示B不具有授权变更的权限

实际结果：
B可以进行授权变更"
